Season,Name,Team,O-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),EV,LA,wRC+,NameASCII,PlayerId,MLBAMID
2021,Randal Grichuk,TOR,0.32064128,0.52321518,0.53125,0.90521978,89.77253227329975,16.14900696,85.28180370762229,Randal Grichuk,10243,545341
2023,Luis Matos,SFG,0.23333333,0.46170921,0.64285714,0.91194969,87.13665834407216,6.278431056701031,85.22783581387404,Luis Matos,26467,682641
2022,Yuli Gurriel,HOU,0.3399061,0.48534972,0.74309392,0.94285714,88.24868412341101,14.55741753012447,85.20887361119897,Yuli Gurriel,19198,493329
2022,Brian Anderson,MIA,0.27931489,0.50550875,0.50943396,0.79753521,88.70537480221519,7.678195357825686,85.07076668363327,Brian Anderson,18289,605119
2023,Miguel Vargas,LAD,0.18434783,0.44352159,0.55660377,0.86682243,86.78582364949749,16.601817682160803,85.00590809,Miguel Vargas,20178,678246
2024,Mitch Haniger,SEA,0.23140496,0.44027304,0.42346939,0.78892734,90.55105038139764,13.716453732468011,84.97889802019243,Mitch Haniger,14274,571745
2021,Eugenio Suárez,CIN,0.23261589,0.42743622,0.39145907,0.84210526,89.08053328,18.274844729443217,84.95328591932727,Eugenio Suarez,12552,553993
2023,Nick Madrigal,CHC,0.31782946,0.44694836,0.83536585,0.96794872,86.23129322489754,3.6781220983286373,84.94904424787619,Nick Madrigal,20521,663611
2024,Jacob Young,WSN,0.25862069,0.42966752,0.66222222,0.89268293,85.80741038602942,4.012642689813966,84.94845850223867,Jacob Young,29931,696285
2023,Daulton Varsho,TOR,0.28205128,0.49416342,0.58116883,0.86107784,87.83261148872678,20.54148059308687,84.88017826309598,Daulton Varsho,19918,662139
2023,Luis García Jr.,WSN,0.30188679,0.50588235,0.69117647,0.91836735,88.25127551020408,4.592037909510178,84.86311095668994,Luis Garcia Jr.,20391,671277
2022,Chad Pinder,OAK,0.30165913,0.52887961,0.45,0.77321429,87.47031572830579,9.665404264591942,84.80019659466087,Chad Pinder,15191,640461
2024,MJ Melendez,KCR,0.29868709,0.52411924,0.55311355,0.8054755,91.10876546770135,14.633720244337248,84.68923333385747,MJ Melendez,22197,669004
2021,Brandon Marsh,LAA,0.2754159,0.45200373,0.41610738,0.80654762,92.10115958,7.901994611833479,84.66501448226413,Brandon Marsh,20202,669016
2022,Alfonso Rivas III,CHC,0.232358,0.41804636,0.4962963,0.85405405,86.88323709,4.874954412012924,84.61851609304824,Alfonso Rivas III,21560,663845
2022,Joey Gallo,- - -,0.26773455,0.47130435,0.35042735,0.71502591,89.58084467405914,23.808165191322246,84.48351188063289,Joey Gallo,14128,608336
2022,Victor Reyes,DET,0.42725881,0.55416991,0.68100358,0.79166667,87.89161382,10.939584899646967,84.38749465074416,Victor Reyes,15487,622682
2022,Victor Caratini,MIL,0.24212272,0.42295345,0.61643836,0.88713911,89.43054080703884,6.574243045547633,84.32163318523163,Victor Caratini,14968,605170
2022,Harrison Bader,- - -,0.34865293,0.47430497,0.62272727,0.90087464,83.36628775761045,16.666950225830078,84.32134558282341,Harrison Bader,18030,664056
